X,Y,Z
-0.188232,0.040771,0.989502
0.017578,0.09082,0.854492
0.111572,0.187012,0.882568
0.013672,0.188477,1.113281
0.18335,0.013916,0.973145
0.223145,0.023682,0.85498
0.000977,-0.218994,1.104004
0.029541,-0.176514,0.943848
-0.108887,-0.183594,0.95874
-0.395752,0.291504,1.036621
-0.063477,0.235596,0.96582
-0.041992,0.059082,0.97168
0.00415,0.031006,0.937988
0.010742,-0.015381,0.964355
-0.013428,-0.056396,0.88916
-0.135254,-0.007568,0.884766
-0.179199,-0.019775,1.008789
-0.067139,0.007812,0.976807
-0.062256,0.018799,0.981445
-0.067383,0.009766,0.974365
-0.065674,0.008057,0.986572
-0.06665,0.008789,0.97583
-0.061279,0.007812,0.97876
-0.065186,0.008301,0.979492
-0.0625,0.010254,0.97998
-0.064209,0.009277,0.984863
-0.056396,0.011963,0.955078
-0.065186,0.01123,0.97583
-0.064697,0.009277,0.973389
-0.045654,0.02832,0.967285
-0.2229,0.073242,0.999268
-0.223145,0.059814,0.880371
-0.109375,-0.001953,1.029297
-0.151367,0.121338,1.021973
0.048096,0.132324,0.891113
0.28125,-0.02417,0.664307
0.193848,-0.055176,0.866211
-0.010742,-0.140137,1.078613
-0.012939,-0.14209,1.13916
-0.093018,-0.10083,0.960938
-0.353027,0.218262,0.888184
-0.093018,0.111572,0.958252
-0.013916,0.100098,1.082275
0.005859,0.029053,0.881104
-0.001221,0.019043,1.022705
-0.070068,-0.036133,1.054199
-0.05127,-0.052734,0.870117
-0.121826,-0.058838,0.821777
-0.066895,0.00708,0.973145
-0.066406,0.010498,0.978027
-0.065186,0.006348,0.977783
-0.066895,0.008301,0.971191
-0.067871,0.010742,0.979736
-0.063721,0.007324,0.97876
-0.067627,0.008789,0.976074
-0.064453,0.005859,0.977783
-0.059326,0.00708,0.98877
-0.062012,0.011963,0.983154
-0.087158,0.017822,0.994873
-0.251953,-0.017334,0.883301
-0.235596,0.022217,0.932617
-0.219727,0.1521,1.039062
0.01001,0.097168,0.90918
0.100342,0.072266,0.948242
0.125732,-0.053955,0.903564
0.126221,-0.068604,0.99292
0.112793,-0.087402,0.821045
0.011475,-0.049072,0.956055
0.052002,-0.059814,0.71167
-0.159912,0.070068,0.96167
-0.064209,0.010742,0.986084
0.005127,0.078369,0.993896
-0.016113,0.028809,1.012451
-0.032959,0.01001,0.929199
-0.030518,-0.053955,0.841553
-0.158936,-0.055908,1.023926
-0.112793,-0.009277,1.024414
-0.135254,0.039062,1.05127
-0.067627,0.00708,0.976807
-0.064941,0.007324,0.978027
-0.064697,0.009277,0.979492
-0.064941,0.007812,0.979248
-0.065918,0.006348,0.982422
-0.064209,0.005127,0.975586
-0.065674,0.006836,0.974854
-0.062744,0.009766,0.979004
-0.063965,0.010742,0.982422
-0.061035,0.008301,0.979248
-0.05957,0.008545,0.977295
-0.164551,0.006348,0.96875
-0.197754,0.086914,0.886719
-0.171631,0.036377,1.118164
0.047119,0.005371,0.807129
-0.064453,0.098389,1.09375
0.094971,0.053223,0.793457
0.026367,-0.101562,1.049561
0.049561,0.044189,1.036377
0.019287,-0.064453,1.07959
0.027344,-0.111816,1.0
-0.181641,-0.072998,1.238281
-0.321045,0.199463,1.256104
-0.065918,0.012451,0.973389
0.067383,0.093994,0.839355
0.135986,-0.005615,0.769287
0.009277,-0.022949,0.979004
-0.140869,-0.012451,1.192627
-0.175537,-0.048828,0.969727
-0.124023,0.0,0.898682
-0.066406,0.008057,0.983398
-0.062744,0.011719,0.973389
-0.064453,0.007568,0.980225
-0.069092,0.007324,0.979492
-0.0625,0.01001,0.977295
-0.060303,0.009277,0.968994
-0.064941,0.010986,0.977295
-0.067627,0.009521,0.977783
-0.065674,0.011963,0.981201
-0.066406,0.012451,0.970215
-0.065186,0.014648,0.97583
-0.143066,0.095459,1.09375
-0.237549,0.005859,1.14502
-0.16333,0.04248,0.856689
0.0271,0.014648,1.109619
0.053955,0.084961,0.899902
0.048584,-0.121338,1.070801
0.143066,-0.010986,0.902832
-0.031006,-0.0625,0.974609
0.058838,-0.166016,0.966309
0.117188,-0.136719,0.770996
-0.206543,0.207031,0.851562
-0.097412,0.125244,0.964844
-0.00293,0.013184,1.020752
0.156494,0.01416,0.728027
-0.058838,-0.070801,0.878174
-0.184082,-0.031738,1.116211
-0.282715,-0.076904,1.094238
-0.068359,0.009033,0.97583
-0.045166,0.012451,0.975098
-0.063232,0.009277,0.977051
-0.063232,0.009521,0.97583
-0.067139,0.011475,0.973389
-0.065674,0.008545,0.97583
-0.066895,0.009277,0.972656
-0.066895,0.008545,0.974854
-0.06958,0.013184,0.977295
-0.06543,0.006592,0.983398
-0.064941,0.009277,0.976807
-0.064453,0.012695,0.974609
-0.265137,-0.079346,0.943848
-0.217773,0.07251,0.959229
-0.240234,0.116455,0.943359
-0.255859,0.067383,0.860352
0.138672,-0.042969,0.976318
0.078857,0.071045,1.121338
-0.052002,0.161865,1.087158
0.148926,-0.026123,1.060303
0.127686,-0.100098,0.821045
-0.146729,-0.145508,1.093018
-0.126221,-0.146729,1.108643
-0.272705,0.239502,0.872314
-0.073242,0.398682,0.967529
-0.020508,0.099121,0.891846
0.126709,0.035645,0.908447
-0.074951,-0.04541,1.084717
0.031006,-0.052734,0.880615
-0.125,-0.057861,0.925293
-0.162842,0.054443,0.963623
-0.064453,0.006104,0.97583
-0.066406,0.010254,0.981689
-0.064697,0.01123,0.979736
-0.063477,0.003418,0.974854
-0.066895,0.005859,0.9729
-0.061279,0.005127,0.975586
-0.061523,0.007324,0.976562
-0.066406,0.008789,0.976074
-0.063477,0.009766,0.986816
-0.070312,0.012695,0.983643
-0.063721,0.008789,0.967773
-0.122559,0.076416,0.954102
-0.196533,0.031738,1.061523
-0.247803,0.07666,1.026123
-0.02832,0.164307,0.940186
0.056152,0.177979,1.103516
0.11499,0.113525,1.003418
0.086426,0.015137,1.0354
0.185791,-0.075439,0.822998
0.054932,-0.128662,0.97876
0.075439,-0.169434,0.930176
-0.186279,-0.072998,1.026855
-0.354248,0.155273,0.745117
-0.062012,0.029541,0.972168
0.017578,0.111328,0.927002
0.123779,0.007812,0.835693
0.008057,-0.045166,0.830811
-0.07959,-0.025146,1.049561
-0.145752,-0.01709,1.022461
-0.1604,-0.060303,0.882568
-0.068604,0.008789,0.981934
-0.066895,0.010498,0.975342
-0.065186,0.007812,0.984131
-0.070557,0.01123,0.974854
-0.06665,0.005615,0.979492
-0.069092,0.005371,0.980225
-0.063721,0.00708,0.975098
-0.0625,0.007568,0.977295
-0.062988,0.01001,0.981689
-0.062012,0.008057,0.978027
-0.065918,0.012207,0.980713
-0.113281,0.033936,0.979248
-0.319092,0.068115,1.000488
-0.264404,-0.023926,0.821777
-0.149658,0.07666,1.020996
-0.157715,0.10083,1.207031
0.166504,0.145752,0.822754
0.141602,0.083496,0.904053
0.20874,-0.104492,1.001465
-0.017822,-0.119385,1.090332
-0.115967,-0.133789,1.270508
-0.108398,-0.047852,0.998535
-0.202393,0.051025,1.019287
-0.067139,0.015869,0.983643
0.003174,0.040039,1.034912
-0.049561,0.002197,1.009033
0.008789,0.000977,0.96875
-0.105469,-0.083252,1.052979
-0.369385,-0.072021,1.067139
-0.168701,0.006104,0.973145
-0.063721,0.012695,0.97583
-0.069824,0.007568,0.973145
-0.065674,0.009277,0.980469
-0.065186,0.01001,0.978516
-0.067871,0.009521,0.980957
-0.061768,0.005859,0.979248
-0.064941,0.010986,0.981445
-0.066162,0.007812,0.973633
-0.063965,0.011719,0.974365
-0.066162,0.01001,0.974365
-0.064941,0.009277,0.975098
-0.064941,0.007568,0.980225
0.067139,0.007568,1.043945
-0.239746,-0.013916,1.046143
-0.187256,0.009521,0.811035
0.046387,0.064941,0.822754
0.008789,0.05957,0.873779
-0.035645,0.099609,1.036865
0.025146,0.018799,0.982666
0.043701,0.037842,1.033203
-0.017578,-0.122559,0.83374
0.031006,-0.070312,0.948242
0.052734,-0.05957,1.013184
-0.175781,0.068359,1.02002
-0.063721,0.012939,0.97876
-0.081543,0.08374,0.974365
0.050049,0.046875,0.904785
-0.023193,-0.003174,1.091064
-0.137939,-0.058594,1.102295
-0.096924,-0.043457,0.962158
-0.021729,-0.036621,0.800049
-0.109375,-0.017334,1.014893
-0.131348,-0.000244,0.967529
-0.067627,0.009766,0.974365
-0.065186,0.010742,0.979736
-0.065674,0.005371,0.974121
-0.068848,0.006104,0.985352
-0.06543,0.00708,0.968262
-0.062256,0.011475,0.973877
-0.063232,0.012695,0.96875
-0.064209,0.012207,0.976318
-0.063477,0.013184,0.979736
-0.204834,0.003418,0.88916
-0.094482,-0.03418,0.898193
-0.188721,0.06665,1.068115
-0.113525,-0.015137,0.875732
-0.151611,0.033203,1.087646
0.01709,0.098389,0.936768
-0.087891,0.104248,1.030029
0.010742,0.022217,1.035889
0.039307,0.016113,0.9729
0.04541,-0.021973,0.968262
0.003906,-0.036865,0.938965
-0.067627,-0.090332,1.029785
-0.081299,-0.099609,1.026123
-0.148193,0.028076,0.972412
-0.210938,0.179932,0.936035
-0.067383,0.006348,0.972168
-0.096436,0.087402,0.996094
-0.000732,0.054443,0.966553
0.038574,-0.008301,0.800781
-0.034668,0.009033,0.955811
-0.014893,0.00708,0.932129
-0.109131,-0.078125,0.988525
-0.030518,0.004395,0.825684
-0.125732,0.010498,0.977539
-0.065674,0.008545,0.979004
-0.063477,0.010986,0.981445
-0.062988,0.010986,0.976807
-0.054932,0.007812,0.9646
-0.066162,0.010254,0.979736
-0.064209,0.013672,0.978271
-0.164307,-0.007324,0.978516
-0.186523,0.004883,0.868164
-0.128174,0.043701,0.961426
0.013916,0.026367,0.823242
0.035889,0.039307,0.835938
-0.063232,0.034912,1.046631
0.058105,-0.006348,0.929932
0.016113,-0.029785,1.016357
0.007324,-0.045654,0.963379
-0.00708,-0.091553,0.987305
-0.118896,-0.096436,1.153809
-0.077881,-0.025146,0.942383
-0.026855,0.018066,0.880615
-0.178467,0.213867,0.960693
-0.085205,0.064209,0.990967
-0.030762,0.119141,1.006592
-0.019287,0.036133,0.963623
0.004395,-0.011719,0.880371
0.038574,0.01001,0.885986
-0.168457,-0.063477,1.00293
-0.087402,-0.000732,0.912354
-0.066162,0.009521,0.977783
-0.060547,0.011475,0.976318
-0.06543,0.009277,0.979004
-0.067139,0.004883,0.984863
-0.062988,0.010498,0.973145
-0.064697,0.010986,0.976562
-0.155762,0.091797,0.988037
-0.064453,0.010498,0.97998
-0.063965,0.012695,0.975098
-0.219482,-0.198242,0.914795
-0.20752,0.064453,1.026367
-0.111572,-0.007812,0.843262
-0.121094,0.031738,0.889648
-0.109863,0.013916,1.003174
0.043457,0.10791,0.901367
-0.009033,0.112061,1.026367
-0.007324,0.061523,0.958496
0.092285,-0.033691,0.821533
-0.033691,-0.168945,1.0271
0.109863,-0.175537,0.677246
-0.164551,-0.039062,1.31543
-0.181396,0.054443,0.999023
-0.128418,0.255615,0.969482
-0.087402,0.083252,1.052002
0.008057,0.053467,0.944336
-0.04248,0.025879,1.160645
0.023193,-0.047607,0.883301
-0.052734,-0.0354,1.046143
-0.063965,-0.018555,1.03418
-0.019531,-0.025391,0.844971
-0.141846,0.030518,0.958984
-0.064209,0.007812,0.974121
-0.06958,0.01001,0.97876
