X,Y,Z
-0.162354,0.033691,0.972656
0.066895,0.351562,0.984863
-0.126221,0.27124,0.929199
-0.017334,0.09668,1.038086
-0.047607,-0.225586,0.906738
0.025391,-0.317139,1.023926
-0.293945,-0.031738,0.879395
-0.0979,-0.069092,0.85083
0.316895,0.014893,0.992676
0.211914,0.062256,1.085938
0.498047,0.024902,0.850098
-0.15625,-0.065918,0.957031
-0.214355,0.018555,1.065674
-0.274414,-0.008789,0.923096
-0.066895,0.009033,0.976807
-0.065186,0.007324,0.976318
-0.065918,0.01001,0.9729
-0.067383,0.009277,0.980713
-0.071045,0.008057,0.981689
-0.067627,0.01001,0.974121
-0.108887,0.003174,0.975098
-0.159912,0.008545,0.981689
-0.233398,-0.019043,0.944824
-0.033447,0.016846,0.852783
0.126465,-0.02124,0.865234
0.28418,-0.030029,0.938965
0.187256,0.052734,1.002441
0.056885,0.006836,0.880371
-0.070312,-0.057129,0.946045
-0.338379,0.0896,0.876221
-0.049072,0.070557,0.97998
-0.063965,0.211914,0.89917
0.025879,0.197266,0.847412
-0.22168,-0.112061,1.275879
0.058105,-0.357666,1.043457
-0.350586,0.012695,0.987549
-0.092285,-0.032715,1.0
0.136719,0.043457,1.098389
0.029053,0.101074,0.988037
0.145508,0.05249,0.992432
0.164795,0.060791,1.098633
0.069336,-0.005859,0.751221
-0.075439,0.068115,0.860107
-0.474609,-0.033691,0.923096
-0.070557,0.008057,0.983154
-0.062744,0.006836,0.978516
-0.069092,0.007812,0.973633
-0.065918,0.013672,0.980469
-0.064209,0.009277,0.970215
-0.064941,0.007812,0.979248
-0.063965,0.008789,0.972656
-0.287842,-0.080078,0.743408
-0.170654,-0.008545,0.900146
-0.275879,0.040283,0.957764
0.093018,-0.011475,0.871582
0.185547,0.060547,1.044434
0.006592,0.005615,0.964844
0.280273,0.071289,1.165283
0.108398,-0.020264,1.09668
0.050293,-0.026123,0.843506
-0.659912,0.144043,0.985107
-0.062012,0.013916,0.984863
-0.140381,0.200684,1.037109
0.01001,0.253418,0.872803
0.18457,-0.022461,0.738037
-0.034424,-0.389648,1.013916
-0.37085,0.061279,1.098145
-0.29248,-0.058105,0.843018
0.188721,0.015381,1.013672
0.207031,0.105957,1.054443
0.130859,0.064697,1.026123
0.299316,-0.037598,0.759277
0.003906,0.063477,1.046387
-0.17334,0.102783,0.936768
-0.392334,0.043457,1.004639
-0.187744,-0.049805,0.959473
-0.067139,0.011963,0.977783
-0.067383,0.008057,0.977295
-0.06543,0.008301,0.981201
-0.067383,0.009033,0.974365
-0.019531,-0.104736,0.975586
-0.244141,0.020264,0.929932
-0.171875,0.018311,1.01001
-0.208252,0.073242,1.071533
-0.02832,0.090332,1.136475
0.230225,-0.021729,0.765137
-0.023926,0.091064,1.040771
0.181152,-0.059814,1.000732
-0.069824,0.046143,1.116211
-0.655762,-0.045166,1.036621
-0.065186,0.006592,0.977539
-0.109863,0.207764,0.978516
0.119873,0.150635,0.967529
0.005859,0.009033,0.9104
-0.039551,-0.425293,0.998779
-0.305176,-0.022705,1.000244
-0.377441,0.028564,0.962402
-0.142334,0.018555,1.059814
0.181885,0.007568,1.044189
-0.121338,0.029785,1.00708
0.189941,0.119385,1.089844
0.124512,0.025635,1.110596
0.066162,-0.050537,0.859375
-0.134766,-0.022461,0.809082
-0.31958,0.017578,0.951172
-0.22876,0.036865,0.952148
-0.064209,0.010742,0.97876
-0.070068,0.008789,0.981689
-0.064941,0.006104,0.981445
-0.059326,0.010742,0.971924
-0.064209,0.011719,0.977051
-0.351318,0.127197,1.029053
-0.196533,0.041748,1.02417
-0.230225,0.025879,0.953857
0.246582,0.114502,1.125732
