X,Y,Z
0.141846,-0.08252,0.914551
0.018799,-0.032471,0.996582
-0.104004,-0.081055,0.959229
-0.324463,0.010498,0.948486
-0.167236,-0.006104,0.975586
-0.14502,0.121094,0.979004
-0.138672,0.001221,0.927979
-0.031494,0.03833,1.024658
-0.117676,0.015869,0.926514
-0.045166,-0.026123,1.046387
0.0979,-0.007324,0.949463
0.062988,-0.062744,0.94043
-0.043457,0.033936,1.023926
-0.066895,-0.008789,0.901123
-0.072266,0.077393,0.902344
-0.175781,-0.035645,1.040527
-0.102051,0.024902,0.977539
-0.065186,0.006348,0.979492
-0.057861,0.011475,0.970947
0.135498,0.044922,0.991211
0.210938,0.087646,0.95752
-0.077393,0.033203,1.090332
-0.16748,-0.01001,0.947266
-0.335205,-0.03125,1.024658
-0.261963,-0.063477,0.959473
-0.236328,0.063965,1.013184
-0.068604,0.087891,1.051514
-0.102051,0.051758,1.033203
0.033203,0.061768,1.062012
0.222168,0.030518,0.9729
0.145264,-0.044189,1.018311
0.153076,0.029053,1.04541
0.006592,-0.031982,0.893311
-0.212646,-0.025391,1.028076
-0.074219,0.106934,0.995361
-0.167969,-0.027344,0.961182
-0.233154,0.056641,0.958984
-0.151611,0.023193,0.946533
-0.31543,0.042969,0.900635
-0.272217,0.121826,1.051025
0.080566,0.100098,0.930664
0.23877,-0.145508,0.896729
0.020996,-0.081299,1.073486
0.149414,-0.016846,0.90332
-0.028564,-0.003662,0.844482
-0.219482,-0.031738,1.030273
-0.259277,-0.00708,0.941895
-0.064209,0.011963,0.981934
-0.058838,0.003418,0.966797
0.13208,0.039307,1.041992
0.104248,0.040283,0.999023
-0.181641,0.097168,1.192871
0.009277,-0.011475,0.927734
-0.565674,0.124756,0.957031
-0.277344,0.0625,0.977051
-0.187256,0.193848,0.843262
-0.140869,0.162598,0.969482
0.090576,0.124756,0.986084
0.219238,0.048096,1.092041
0.147949,0.053955,0.952148
0.053711,-0.075684,1.169434
-0.131592,0.040039,0.985352
-0.468018,0.00293,0.975342
-0.064697,0.011963,0.982178
-0.409912,0.097656,0.986816
-0.255859,0.041992,0.898438
-0.051025,0.052979,0.977295
0.010986,0.180908,1.05957
0.21167,0.153809,1.067871
0.159668,-0.077148,0.939697
0.093994,-0.069092,1.060303
-0.105225,-0.045166,0.953857
-0.164795,-0.081543,0.927979
-0.312988,-0.021973,0.905762
-0.065918,0.005615,0.989014
-0.071289,0.008545,0.972656
